id,query,tipo,groundtruth,documento,ruta,pagina,chunks
11,¿Qué valores de tensión se midieron entre L1-L2 y L1-N en la alimentación principal (Hauptschalter) de la MTPE Machine DAG BR 449?,factual tabla,Entre L1-L2 se midieron 395 V y entre L1-N se midieron 228 V.,1005808 07 DGUV.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\IR Welding Machine\1005808 MTPE Machine DAG BR 449\Español\01 Seguridad\1005808 07 DGUV.pdf,16,
12,¿Qué condición debe cumplirse para que la medición FI en la MTPE Machine DAG BR 449 sea conforme?,regla,El interruptor FI debe disparar con un tiempo de disparo aproximado de 40 ms y con una corriente de disparo inferior a 30 mA. ,1005808 07 DGUV.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\IR Welding Machine\1005808 MTPE Machine DAG BR 449\Español\01 Seguridad\1005808 07 DGUV.pdf,15,
13,¿Qué advertencia general debe cumplirse antes de realizar cualquier tarea de mantenimiento en la MTPE Machine DAG BR 449?,regla,"Antes de llevar a cabo ninguna tarea de mantenimiento, deben leerse atentamente los datos de los puntos de mantenimiento. ",1005808 01 Plan de mantenimiento.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\IR Welding Machine\1005808 MTPE Machine DAG BR 449\Español\03 Mantenimiento\1005808 01 Plan de mantenimiento.pdf,3,
14,¿Qué procedimiento debe seguirse para asegurar la instalación frente a una reconexión durante tareas de mantenimiento en la MTPE Machine DAG BR 449?,procedimiento,"Debe señalizarse y cerrarse la instalación con avisos de mantenimiento, colocar advertencia en el interruptor principal, interrumpir el circuito de seguridad y asegurarlo frente a un cierre, además de cerrar y despresurizar la conexión de aire comprimido.",1005808 01 Plan de mantenimiento.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\IR Welding Machine\1005808 MTPE Machine DAG BR 449\Español\03 Mantenimiento\1005808 01 Plan de mantenimiento.pdf,5,
15,¿Qué intervalo de mantenimiento se establece para la comprobación de daños y suciedad general (A01) en la MTPE Machine DAG BR 449?,factual tabla,La comprobación de daños y suciedad general (A01) debe realizarse 1 vez al día o después de 24 horas de servicio. ,1005808 01 Plan de mantenimiento.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\IR Welding Machine\1005808 MTPE Machine DAG BR 449\Español\03 Mantenimiento\1005808 01 Plan de mantenimiento.pdf,9,
16,¿Qué requisito debe cumplirse al limpiar el panel táctil de la MTPE Machine DAG BR 449?,procedimiento,Debe utilizarse la función «arrancar pantalla de limpieza» en los ajustes de sistema del panel táctil antes de realizar la limpieza.,1005808 01 Plan de mantenimiento.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\IR Welding Machine\1005808 MTPE Machine DAG BR 449\Español\03 Mantenimiento\1005808 01 Plan de mantenimiento.pdf,21,
17,¿Cuál es el valor total del equipo indicado en la lista de piezas de recambio de la MTPE Machine DAG BR 449?,factual,"El valor total del equipo es 2.730.000,00 €. ",1005808 01 Lista de piezas de recambio.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\IR Welding Machine\1005808 MTPE Machine DAG BR 449\Español\04 Piezas de recambio\1005808 01 Lista de piezas de recambio.pdf,1,
18,¿Qué prioridad y fabricante tiene el “Deep groove ball bearing Di30 Da62 B16” en la MTPE Machine DAG BR 449?,factual tabla,El fabricante es FAG y la prioridad es A (HIGH). ,1005808 01 Lista de piezas de recambio.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\IR Welding Machine\1005808 MTPE Machine DAG BR 449\Español\04 Piezas de recambio\1005808 01 Lista de piezas de recambio.pdf,2,
19,¿Qué procedimiento administrativo se indica respecto a la validez de precios en la lista de recambios de la MTPE Machine DAG BR 449?,regla,La validez del precio es de hasta 3 meses después de la emisión. ,1005808 01 Lista de piezas de recambio.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\IR Welding Machine\1005808 MTPE Machine DAG BR 449\Español\04 Piezas de recambio\1005808 01 Lista de piezas de recambio.pdf,2,
20,¿Qué precio unitario tiene la CPU SIMATIC S7-1500F (6ES7517-3FP00-0AB0) en la MTPE Machine DAG BR 449?,factual,"El precio unitario recomendado es 7.017,82 €. ",1005808 01 Lista de piezas de recambio.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\IR Welding Machine\1005808 MTPE Machine DAG BR 449\Español\04 Piezas de recambio\1005808 01 Lista de piezas de recambio.pdf,3,
21,¿Qué tensión se midió entre L2-L3 en la alimentación del interruptor principal (main switch) de la BR 449_IP_VAC+ESL_MTP_250-50_with vacuum kit?,factual tabla,La tensión medida entre L2-L3 es 396 V.,1005796 07 DGUV.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Lamination Machine\1005796 MTP Machine DAG BR 449\English\01 Safety\1005796 07 DGUV.pdf,20,
22,¿Qué procedimiento de medición de aislamiento se aplica en la BR 449_IP_VAC+ESL_MTP_250-50_with vacuum kit y cuál es la tensión de prueba utilizada?,procedimiento,"Se realiza una medición de aislamiento con una tensión de prueba de 500 V, con valores mínimos exigidos según la clase de protección (Schutzklasse I >0,3MΩ con elementos calefactores, >1MΩ sin elementos calefactores, >2MΩ para partes conductoras accesibles sin conexión SL, Schutzklasse II >2,0MΩ).  ",1005796 07 DGUV.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Lamination Machine\1005796 MTP Machine DAG BR 449\English\01 Safety\1005796 07 DGUV.pdf,8,
23,¿Qué valor máximo de corriente L-PE se registró para la fase L2 en el interruptor principal (main switch) de la BR 449_IP_VAC+ESL_MTP_250-50_with vacuum kit?,factual tabla,Para la fase L2 del Hauptschalter se registró 4600 A (L-PE).,1005796 07 DGUV.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Lamination Machine\1005796 MTP Machine DAG BR 449\English\01 Safety\1005796 07 DGUV.pdf,23,
24,¿Qué condición debe cumplirse para que el interruptor diferencial (RCD) sea conforme en la BR 449_IP_VAC+ESL_MTP_250-50_with vacuum kit?,regla,El interruptor FI debe disparar con un tiempo aproximado de 40 ms y con una corriente de disparo inferior a 30 mA.,1005796 07 DGUV.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Lamination Machine\1005796 MTP Machine DAG BR 449\English\01 Safety\1005796 07 DGUV.pdf,19,
25,¿Qué tipos de mediciones se documentan en el informe DGUV de la BR 449_IP lower center cover+Glove box_LHD_VAC_TOOL_1+0_1+0?,factual tabla,"Se documentan: 1.) Niederohmmessung nach DIN VDE 0413 Teil 4 y Schutzleitermessungsdokumentation nach DIN VDE 0100 Teil 600, 2.) Isolationsmessung nach DIN VDE 0100 Teil 610, 3.) Profinetmessung, 4.) Offene Punkte.",1005797 04 DGUV.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Lamination Machine\1005797 Vacuum tool DAG BR 449\Español\01 Seguridad\1005797 04 DGUV.pdf,2,
26,¿Qué procedimiento de medición de aislamiento se aplica en la BR 449_IP lower center cover+Glove box_LHD_VAC_TOOL_1+0_1+0 y cuál es la tensión de prueba utilizada?,procedimiento,"Isolationsmessung: Prüfspannung 500V, Schutzklasse I – > 0,3MΩ (mit Heizelementen), Schutzklasse I – > 1MΩ (ohne Heizelementen), > 2MΩ (berührbare, leitfähige Teile ohne SL-Anschluss), Schutzklasse II >2,0MΩ.  ",1005797 04 DGUV.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Lamination Machine\1005797 Vacuum tool DAG BR 449\Español\01 Seguridad\1005797 04 DGUV.pdf,5,
27,¿Qué valor máximo permitido se indica para la medición de baja resistencia (protective conductor continuity) en la BR 449_IP lower center cover+Glove box_LHD_VAC_TOOL_1+0_1+0?,regla,"Los valores medidos deben ser < 0,10 OHM.  ",1005797 04 DGUV.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Lamination Machine\1005797 Vacuum tool DAG BR 449\Español\01 Seguridad\1005797 04 DGUV.pdf,3,
28,¿Qué instrumento de medición se utilizó para la prueba de red industrial (Profinet) en la BR 449_IP lower center cover+Glove box_LHD_VAC_TOOL_1+0_1+0?,factual,Se utilizó el equipo de medición WIREEXPERT 4500. ,1005797 04 DGUV.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Lamination Machine\1005797 Vacuum tool DAG BR 449\Español\01 Seguridad\1005797 04 DGUV.pdf,6,
29,¿Qué tipo de cable y fabricante se utilizaron en la conexión Profinet de la BR 449_IP lower center cover+Glove box_LHD_VAC_TOOL_1+0_1+0?,factual,Kabelbezeichnung: lapp etherline 2170894; Steckername: siemens.,1005797 05 Profinet.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Lamination Machine\1005797 Vacuum tool DAG BR 449\Español\01 Seguridad\1005797 05 Profinet.pdf,1,
30,¿Qué longitud y tiempo de propagación se registraron en la primera línea Profinet de la BR 449_IP lower center cover+Glove box_LHD_VAC_TOOL_1+0_1+0?,factual tabla,"Länge (m): 4,3; Laufzeit (ns): 22,0. ",1005797 05 Profinet.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Lamination Machine\1005797 Vacuum tool DAG BR 449\Español\01 Seguridad\1005797 05 Profinet.pdf,1,
31,¿Qué procedimiento de verificación se realizó para la certificación de la red Profinet en la BR 449_IP lower center cover+Glove box_LHD_VAC_TOOL_1+0_1+0?,procedimiento,"Se realizó un Zertifizierungsbericht de Kupfer-Verkabelung con pruebas de Verdrahtung, Einfügedämpfung, Rückflussdämpfung, NEXT, ACR-F y ACR-N, todas con resultado “Bestanden”.",1005797 05 Profinet.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Lamination Machine\1005797 Vacuum tool DAG BR 449\Español\01 Seguridad\1005797 05 Profinet.pdf,1.2,
32,¿Qué estándar de cableado se utilizó en la conexión Profinet de la BR 449_IP lower center cover+Glove box_LHD_VAC_TOOL_1+0_1+0?,regla,Verdrahtung: T568B.  ,1005797 05 Profinet.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Lamination Machine\1005797 Vacuum tool DAG BR 449\Español\01 Seguridad\1005797 05 Profinet.pdf,1,
33,¿Qué advertencia general debe cumplirse antes de realizar cualquier tarea de mantenimiento en la BR 449_IP lower center cover+Glove box_LHD_VAC_TOOL_1+0_1+0?,regla,"¡Antes de llevar a cabo ninguna tarea de mantenimiento, lea atentamente los datos de los puntos de mantenimiento! ",1005797 01 Plan de mantenimiento.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Lamination Machine\1005797 Vacuum tool DAG BR 449\Español\03 Mantenimiento\1005797 01 Plan de mantenimiento.pdf,3,
34,¿Qué procedimiento debe seguirse para asegurar la instalación frente a una reconexión durante tareas de mantenimiento en la BR 449_IP lower center cover+Glove box_LHD_VAC_TOOL_1+0_1+0?,procedimiento,Señalice y cierre la instalación antes de las tareas de reparación («¡La instalación se encuentra en mantenimiento!» / «¡Entrada prohibida a personal no autorizado!»); coloque una advertencia en el interruptor principal; interrumpa el circuito de seguridad y asegúrelo frente a un cierre; cierre y despresurice la conexión de aire comprimido.,1005797 01 Plan de mantenimiento.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Lamination Machine\1005797 Vacuum tool DAG BR 449\Español\03 Mantenimiento\1005797 01 Plan de mantenimiento.pdf,5,
35,¿Cuál es el intervalo de mantenimiento para la comprobación del afilamiento de las cuchillas en la BR 449_IP lower center cover+Glove box_LHD_VAC_TOOL_1+0_1+0?,factual tabla,1 vez a la semana o después de 160 horas de servicio.  ,1005797 01 Plan de mantenimiento.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Lamination Machine\1005797 Vacuum tool DAG BR 449\Español\03 Mantenimiento\1005797 01 Plan de mantenimiento.pdf,13.14,
36,¿Qué par de apriete corresponde a un tornillo M12 con hexágono interno (clase 8.8) en la BR 449_IP lower center cover+Glove box_LHD_VAC_TOOL_1+0_1+0?,factual tabla,M12 = 80 Nm.  ,1005797 01 Plan de mantenimiento.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Lamination Machine\1005797 Vacuum tool DAG BR 449\Español\03 Mantenimiento\1005797 01 Plan de mantenimiento.pdf,12,
37,¿Cuál es el valor total del equipo indicado en la lista de piezas de recambio de la BR 449_IP lower center cover+Glove box_LHD_VAC_TOOL_1+0_1+0?,factual,"Total Equipment value = 2.730.000,00 €  ",1005797 01 Lista de piezas de recambio.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Lamination Machine\1005797 Vacuum tool DAG BR 449\Español\04 Piezas de recambio\1005797 01 Lista de piezas de recambio.pdf,1,
38,¿Qué fabricante y precio unitario tiene la unidad central de procesamiento SIMATIC S7-1500F (6ES7517-3FP00-0AB0) en la BR 449_IP lower center cover+Glove box_LHD_VAC_TOOL_1+0_1+0?,factual tabla,"3 Siemens A 50 6ES7517-3FP00-0AB0 7.017,82 € 1 7.017,82 € ",1005797 01 Lista de piezas de recambio.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Lamination Machine\1005797 Vacuum tool DAG BR 449\Español\04 Piezas de recambio\1005797 01 Lista de piezas de recambio.pdf,2.3,
39,¿Qué prioridad tiene el “Deep groove ball bearing Di30 Da62 B16” en la BR 449_IP lower center cover+Glove box_LHD_VAC_TOOL_1+0_1+0?,factual tabla,"FAG A 50 6206-C-2HRS-L038 13,07 € 4 52,28 € ",1005797 01 Lista de piezas de recambio.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Lamination Machine\1005797 Vacuum tool DAG BR 449\Español\04 Piezas de recambio\1005797 01 Lista de piezas de recambio.pdf,2,
40,¿Qué condición se establece respecto a la validez de los precios en la lista de piezas de recambio de la BR 449_IP lower center cover+Glove box_LHD_VAC_TOOL_1+0_1+0?,regla,Price validity: up to 3 months after issue,1005797 01 Lista de piezas de recambio.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Lamination Machine\1005797 Vacuum tool DAG BR 449\Español\04 Piezas de recambio\1005797 01 Lista de piezas de recambio.pdf,3,
41,¿Qué tipos de pruebas se documentan en el informe DGUV de la BR 449_IP top pad_LHD/RHD_ITG_TOOL_1_1?,factual tabla,1.) Niederohmmessung nach DIN VDE 0413 Teil 4 und Schutzleitermessungsdokumentation nach DIN VDE 0100 Teil 600  2.) Isolationsmessung nach DIN VDE 0100 Teil 610  3.) Profinetmessung  4.) Offene Punkte,1005799 04 DGUV.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Lamination Machine\1005799 ITG Laminating tool DAG BR 449\Español\01 Seguridad\1005799 04 DGUV.pdf,2,
42,¿Qué valor máximo permitido se indica para la medición de continuidad del conductor de protección en la BR 449_IP top pad_LHD/RHD_ITG_TOOL_1_1?,regla,Messwerte in OHM: < 0.10,1005799 04 DGUV.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Lamination Machine\1005799 ITG Laminating tool DAG BR 449\Español\01 Seguridad\1005799 04 DGUV.pdf,3.4,
43,¿Qué tensión de prueba se utiliza en la medición de aislamiento de la BR 449_IP top pad_LHD/RHD_ITG_TOOL_1_1?,factual,Prüfspannung 500V,1005799 04 DGUV.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Lamination Machine\1005799 ITG Laminating tool DAG BR 449\Español\01 Seguridad\1005799 04 DGUV.pdf,5,
44,¿Qué instrumento de medición se utilizó para la prueba de red industrial en la BR 449_IP top pad_LHD/RHD_ITG_TOOL_1_1?,factual,Messgerät: WIREEXPERT 4500,1005799 04 DGUV.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Lamination Machine\1005799 ITG Laminating tool DAG BR 449\Español\01 Seguridad\1005799 04 DGUV.pdf,8,
45,¿Qué longitud y tiempo de propagación se registraron en la primera línea Profinet de la BR 449_IP top pad_LHD/RHD_ITG_TOOL_1_1?,factual tabla,"Länge (m): 2,3; Laufzeit (ns): 12,0.",1005799 05 Profinet.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Lamination Machine\1005799 ITG Laminating tool DAG BR 449\Español\01 Seguridad\1005799 05 Profinet.pdf,1,
46,¿Qué estándar de cableado se utilizó en la conexión Profinet de la BR 449_IP top pad_LHD/RHD_ITG_TOOL_1_1?,regla,Verdrahtung: T568B,1005799 05 Profinet.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Lamination Machine\1005799 ITG Laminating tool DAG BR 449\Español\01 Seguridad\1005799 05 Profinet.pdf,1,
47,¿Qué tipo de cable y fabricante del conector se emplearon en la red Profinet de la BR 449_IP top pad_LHD/RHD_ITG_TOOL_1_1?,factual,Kabelbezeichnung: lapp etherline 2170894; Steckername: siemens ,1005799 05 Profinet.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Lamination Machine\1005799 ITG Laminating tool DAG BR 449\Español\01 Seguridad\1005799 05 Profinet.pdf,1,
48,¿Qué longitud y tiempo de propagación se registraron en la segunda línea Profinet de la BR 449_IP top pad_LHD/RHD_ITG_TOOL_1_1?,factual tabla,"Länge (m): 2,9; Laufzeit (ns): 15,0.",1005799 05 Profinet.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Lamination Machine\1005799 ITG Laminating tool DAG BR 449\Español\01 Seguridad\1005799 05 Profinet.pdf,2,
49,¿Qué advertencia general debe cumplirse antes de realizar cualquier tarea de mantenimiento en la BR 449_IP top pad_LHD/RHD_ITG_TOOL_1_1?,regla,"¡Antes de llevar a cabo ninguna tarea de mantenimiento, lea atentamente los datos de los puntos de mantenimiento!",1005799 01 Plan de mantenimiento.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Lamination Machine\1005799 ITG Laminating tool DAG BR 449\Español\03 Mantenimiento\1005799 01 Plan de mantenimiento.pdf,2,
50,¿Cuál es el intervalo de mantenimiento para la comprobación de las uniones atornilladas (04.01.001) en la BR 449_IP top pad_LHD/RHD_ITG_TOOL_1_1?,factual tabla,1 vez a la semana o después de 160 horas de servicio ,1005799 01 Plan de mantenimiento.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Lamination Machine\1005799 ITG Laminating tool DAG BR 449\Español\03 Mantenimiento\1005799 01 Plan de mantenimiento.pdf,9,
51,¿Qué par de apriete corresponde a un tornillo M16 con hexágono interno (clase 8.8) en la BR 449_IP top pad_LHD/RHD_ITG_TOOL_1_1?,factual tabla,M16 = 195 Nm,1005799 01 Plan de mantenimiento.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Lamination Machine\1005799 ITG Laminating tool DAG BR 449\Español\03 Mantenimiento\1005799 01 Plan de mantenimiento.pdf,10,
52,¿Qué procedimiento debe seguirse para la lubricación del casquillo guía (04.07.002) en la BR 449_IP top pad_LHD/RHD_ITG_TOOL_1_1?,procedimiento,"Lubricación del casquillo guía a mano por medio de una brocha o una boquilla de engrase y una pistola engrasadora. Antes de la utilización de una pistola de engrase, deben limpiarse de forma exhaustiva tanto la pistola de engrase como los puntos de lubricación ",1005799 01 Plan de mantenimiento.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Lamination Machine\1005799 ITG Laminating tool DAG BR 449\Español\03 Mantenimiento\1005799 01 Plan de mantenimiento.pdf,14,
53,¿Cuál es el valor total del equipo indicado en la lista de piezas de recambio de la BR 449_IP top pad_LHD/RHD_ITG_TOOL_1_1?,factual,"Total Equipment value = 2.730.000,00 €",1005799 01 Lista de piezas de recambio.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Lamination Machine\1005799 ITG Laminating tool DAG BR 449\Español\04 Piezas de recambio\1005799 01 Lista de piezas de recambio.pdf,1,
54,¿Qué fabricante y precio unitario tiene la unidad central de procesamiento SIMATIC S7-1500F (6ES7517-3FP00-0AB0) en la BR 449_IP top pad_LHD/RHD_ITG_TOOL_1_1?,factual tabla,"Siemens A 50 6ES7517-3FP00-0AB0 7.017,82 €",1005799 01 Lista de piezas de recambio.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Lamination Machine\1005799 ITG Laminating tool DAG BR 449\Español\04 Piezas de recambio\1005799 01 Lista de piezas de recambio.pdf,3,
55,¿Qué prioridad tiene el “Deep groove ball bearing Di30 Da62 B16” en la BR 449_IP top pad_LHD/RHD_ITG_TOOL_1_1?,factual tabla,"FAG A 50 6206-C-2HRS-L038 13,07 € 4 52,28 €",1005799 01 Lista de piezas de recambio.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Lamination Machine\1005799 ITG Laminating tool DAG BR 449\Español\04 Piezas de recambio\1005799 01 Lista de piezas de recambio.pdf,2,
56,¿Qué condición se establece respecto a la validez de los precios en la lista de piezas de recambio de la BR 449_IP top pad_LHD/RHD_ITG_TOOL_1_1?,regla,Price validity: up to 3 months after issue,1005799 01 Lista de piezas de recambio.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Lamination Machine\1005799 ITG Laminating tool DAG BR 449\Español\04 Piezas de recambio\1005799 01 Lista de piezas de recambio.pdf,2,
57,¿Cuál es la tensión nominal y la frecuencia eléctrica del armario de control documentado por FERRO Technik GmbH?,factual,Rated voltage: 3x400V+N+PE TN-S ; Frequency: 50HZ,Electrical documentation Control cabinet_engl.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\LASER TROTEC\Electrical documentation Control cabinet_engl.pdf,1,
58,¿Qué clase de protección y qué potencia nominal tiene el armario de control del proyecto Small control cabinet?,factual,"Prot. class: IP 54 ; Rated power / rated current: 9,5kW / 25A",Electrical documentation Control cabinet_engl.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\LASER TROTEC\Electrical documentation Control cabinet_engl.pdf,1,
